place,value,unit,recordTime
King's Park,31,C,2025-10-14T11:00:00+08:00
Hong Kong Observatory,31,C,2025-10-14T11:00:00+08:00
Wong Chuk Hang,31,C,2025-10-14T11:00:00+08:00
Ta Kwu Ling,31,C,2025-10-14T11:00:00+08:00
Lau Fau Shan,32,C,2025-10-14T11:00:00+08:00
Tai Po,30,C,2025-10-14T11:00:00+08:00
Sha Tin,30,C,2025-10-14T11:00:00+08:00
Tuen Mun,30,C,2025-10-14T11:00:00+08:00
Tseung Kwan O,31,C,2025-10-14T11:00:00+08:00
Sai Kung,30,C,2025-10-14T11:00:00+08:00
Cheung Chau,31,C,2025-10-14T11:00:00+08:00
Chek Lap Kok,32,C,2025-10-14T11:00:00+08:00
Tsing Yi,31,C,2025-10-14T11:00:00+08:00
Tsuen Wan Ho Koon,29,C,2025-10-14T11:00:00+08:00
Tsuen Wan Shing Mun Valley,31,C,2025-10-14T11:00:00+08:00
Hong Kong Park,29,C,2025-10-14T11:00:00+08:00
Shau Kei Wan,29,C,2025-10-14T11:00:00+08:00
Kowloon City,32,C,2025-10-14T11:00:00+08:00
Happy Valley,31,C,2025-10-14T11:00:00+08:00
Wong Tai Sin,30,C,2025-10-14T11:00:00+08:00
Stanley,30,C,2025-10-14T11:00:00+08:00
Kwun Tong,29,C,2025-10-14T11:00:00+08:00
Sham Shui Po,31,C,2025-10-14T11:00:00+08:00
Kai Tak Runway Park,30,C,2025-10-14T11:00:00+08:00
Yuen Long Park,32,C,2025-10-14T11:00:00+08:00
Tai Mei Tuk,29,C,2025-10-14T11:00:00+08:00
